CODDIS;COD_DIS_TX;NOMDIS;COD_BAR;COD_DISBAR;COD_DISB;NUM_BAR;NOMBRE;BARRIO_MAY;BARRIO_MT;FCH_ALTA;FCH_BAJA;OBSERVACIONES;APROBACION;Shape_Leng;Shape_Area;;
8;08;Fuencarral - El Pardo;086;86;8-6;6;Valverde;VALVERDE;VALVERDE;;;;;12.214,18;8.981.228,01;;
8;08;Fuencarral - El Pardo;087;87;8-7;7;Mirasierra;MIRASIERRA;MIRASIERRA;;;;;13.146,63;6.992.796,71;;
8;08;Fuencarral - El Pardo;088;88;8-8;8;El Goloso;EL GOLOSO;EL GOLOSO;;;;;26.548,91;26.493.113,02;;
9;09;Moncloa - Aravaca;091;91;9-1;1;Casa de Campo;CASA DE CAMPO;CASA DE CAMPO;;;;;19.238,38;17.476.000,31;;
9;09;Moncloa - Aravaca;092;92;9-2;2;Argüelles;ARGÜELLES;ARGÜELLES;;;;;5.290,49;757.531,14;;
9;09;Moncloa - Aravaca;093;93;9-3;3;Ciudad Universitaria;CIUDAD UNIVERSITARIA;CIUDAD UNIVERSITARIA;;;;;19.475,73;14.250.852,89;;
9;09;Moncloa - Aravaca;094;94;9-4;4;Valdezarza;VALDEZARZA;VALDEZARZA;;;;;5.347,78;1.397.455,63;;
9;09;Moncloa - Aravaca;095;95;9-5;5;Valdemarín;VALDEMARIN;VALDEMARÍN;;;;;8.289,76;3.302.463,52;;
9;09;Moncloa - Aravaca;096;96;9-6;6;El Plantío;EL PLANTIO;EL PLANTÍO;;;;;9.980,75;3.553.854,51;;
9;09;Moncloa - Aravaca;097;97;9-7;7;Aravaca;ARAVACA;ARAVACA;;;;;10.858,67;5.848.791,54;;
10;10;Latina;101;101;10-1;1;Los Cármenes;LOS CARMENES;LOS CÁRMENES;;;;;6.182,22;1.291.998,86;;
10;10;Latina;102;102;10-2;2;Puerta del Ángel;PUERTA DEL ANGEL;PUERTA DEL ÁNGEL;;;;;5.368,77;1.375.297,55;;
10;10;Latina;103;103;10-3;3;Lucero;LUCERO;LUCERO;;;;;5.498,30;1.678.995,24;;
10;10;Latina;104;104;10-4;4;Aluche;ALUCHE;ALUCHE;;;;;7.267,78;2.849.809,98;;
10;10;Latina;105;105;10-5;5;Campamento;CAMPAMENTO;CAMPAMENTO;;;;;16.484,76;9.174.802,10;;
10;10;Latina;106;106;10-6;6;Cuatro Vientos;CUATRO VIENTOS;CUATRO VIENTOS;;;;;10.118,61;5.429.881,01;;
10;10;Latina;107;107;10-7;7;Águilas;AGUILAS;ÁGUILAS;;;;;7.627,75;3.609.602,86;;
11;11;Carabanchel;111;111;11-1;1;Comillas;COMILLAS;COMILLAS;;;;;4.257,86;666.096,20;;
11;11;Carabanchel;112;112;11-2;2;Opañel;OPAÑEL;OPAÑEL;;;;;4.492,83;1.107.286,23;;
11;11;Carabanchel;113;113;11-3;3;San Isidro;SAN ISIDRO;SAN ISIDRO;;;;;6.149,55;1.899.331,78;;
11;11;Carabanchel;114;114;11-4;4;Vista Alegre;VISTA ALEGRE;VISTA ALEGRE;;;;;6.437,03;1.589.225,33;;
11;11;Carabanchel;115;115;11-5;5;Puerta Bonita;PUERTA BONITA;PUERTA BONITA;;;;;5.985,25;1.608.625,59;;
11;11;Carabanchel;116;116;11-6;6;Buenavista;BUENAVISTA;BUENAVISTA;;;;;11.586,86;5.613.180,34;;
11;11;Carabanchel;117;117;11-7;7;Abrantes;ABRANTES;ABRANTES;;;;;5.494,75;1.564.570,39;;
12;12;Usera;121;121;12-1;1;Orcasitas;ORCASITAS;ORCASITAS;;;;;4.664,67;1.356.362,46;;
12;12;Usera;122;122;12-2;2;Orcasur;ORCASUR;ORCASUR;;;;;6.014,65;1.387.350,47;;
12;12;Usera;123;123;12-3;3;San Fermín;SAN FERMIN;SAN FERMÍN;;;;;5.876,03;1.475.398,93;;
12;12;Usera;124;124;12-4;4;Almendrales;ALMENDRALES;ALMENDRALES;;;;;3.727,31;780.140,09;;
12;12;Usera;125;125;12-5;5;Moscardó;MOSCARDO;MOSCARDÓ;;;;;4.248,71;908.787,30;;
12;12;Usera;126;126;12-6;6;Zofío;ZOFIO;ZOFÍO;;;;;3.742,72;774.025,40;;
12;12;Usera;127;127;12-7;7;Pradolongo;PRADOLONGO;PRADOLONGO;;;;;4.785,10;1.095.652,10;;
13;13;Puente de Vallecas;131;131;13-1;1;Entrevías;ENTREVÍAS;ENTREVÍAS;;;;;11.034,99;5.971.941,42;;
13;13;Puente de Vallecas;132;132;13-2;2;San Diego;SAN DIEGO;SAN DIEGO;;;;;4.726,31;1.069.868,38;;
13;13;Puente de Vallecas;133;133;13-3;3;Palomeras Bajas;PALOMENAS  BAJAS;PALOMERAS BAJAS;;;;;5.649,53;1.723.868,66;;
13;13;Puente de Vallecas;134;134;13-4;4;Palomeras Sureste;PALOMERAS SURESTE;PALOMERAS SURESTE;;;;;7.823,25;3.108.597,64;;
13;13;Puente de Vallecas;135;135;13-5;5;Portazgo;PORTAZGO;PORTAZGO;;;;;4.834,74;1.245.260,49;;
13;13;Puente de Vallecas;136;136;13-6;6;Numancia;NUMANCIA;NUMANCIA;;;;;5.364,46;1.849.069,28;;
14;14;Moratalaz;141;141;14-1;1;Pavones;PAVONES;PAVONES;;;;;4.120,65;1.009.652,26;;
14;14;Moratalaz;142;142;14-2;2;Horcajo;HORCAJO;HORCAJO;;;;;3.896,49;745.945,38;;
14;14;Moratalaz;143;143;14-3;3;Marroquina;MARROQUINA;MARROQUINA;;;;;6.747,88;1.790.110,55;;
14;14;Moratalaz;144;144;14-4;4;Media Legua;MEDIA LEGUA;MEDIA LEGUA;;;;;4.676,06;998.967,78;;
14;14;Moratalaz;145;145;14-5;5;Fontarrón;FONTARRON;FONTARRÓN;;;;;6.220,55;964.573,77;;
14;14;Moratalaz;146;146;14-6;6;Vinateros;VINATEROS;VINATEROS;;;;;3.721,75;593.918,02;;
15;15;Ciudad Lineal;151;151;15-1;1;Ventas;VENTAS;VENTAS;;;;;8.207,62;3.198.035,19;;
15;15;Ciudad Lineal;152;152;15-2;2;Pueblo Nuevo;PUEBLO NUEVO;PUEBLO NUEVO;;;;;7.746,68;2.319.216,84;;
15;15;Ciudad Lineal;153;153;15-3;3;Quintana;QUINTANA;QUINTANA;;;;;4.438,49;723.117,48;;
15;15;Ciudad Lineal;154;154;15-4;4;La Concepción;LA CONCEPCION;LA CONCEPCIÓN;;;;;5.775,73;885.910,78;;
15;15;Ciudad Lineal;155;155;15-5;5;San Pascual;SAN PASCUAL;SAN PASCUAL;;;;;4.456,05;1.052.724,61;;
15;15;Ciudad Lineal;156;156;15-6;6;San Juan Bautista;SAN JUAN BAUTISTA;SAN JUAN BAUTISTA;;;;;4.012,35;1.010.844,21;;
15;15;Ciudad Lineal;157;157;15-7;7;Colina;COLINA;COLINA;;;;;3.175,57;559.699,36;;
15;15;Ciudad Lineal;158;158;15-8;8;Atalaya;ATALAYA;ATALAYA;;;;;2.240,85;248.882,86;;
15;15;Ciudad Lineal;159;159;15-9;9;Costillares;COSTILLARES;COSTILLARES;;;;;5.635,57;1.427.246,62;;
16;16;Hortaleza;161;161;16-1;1;Palomas;PALOMAS;PALOMAS;;;;;4.623,51;1.068.837,50;;
16;16;Hortaleza;162;162;16-2;2;Piovera;PIOVERA;PIOVERA;;;;;7.833,91;3.139.650,42;;
16;16;Hortaleza;163;163;16-3;3;Canillas;CANILLAS;CANILLAS;;;;;7.568,38;2.522.508,53;;
16;16;Hortaleza;164;164;16-4;4;Pinar del Rey;PINAR DEL REY;PINAR DEL REY;;;;;8.208,59;2.664.767,48;;
16;16;Hortaleza;165;165;16-5;5;Apóstol Santiago;APOSTOL SANTIAGO;APÓSTOL SANTIAGO;;;;;4.724,25;1.205.070,03;;
16;16;Hortaleza;166;166;16-6;6;Valdefuentes;VALDEFUENTES;VALDEFUENTES;;;;;19.612,51;17.023.150,03;;
17;17;Villaverde;171;171;17-1;1;Villaverde Alto - Casco Histórico de Villaverde;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;VILLAVERDE ALTO - CASCO HISTÓRICO DE VILLAVERDE;;;;;13.739,96;9.254.047,98;;
17;17;Villaverde;172;172;17-2;2;San Cristóbal;SAN CRISTOBAL;SAN CRISTÓBAL;;;;;4.752,83;1.082.492,30;;
17;17;Villaverde;173;173;17-3;3;Butarque;BUTARQUE;BUTARQUE;;;;;12.678,91;6.381.763,82;;
17;17;Villaverde;174;174;17-4;4;Los Rosales;LOS ROSALES;LOS ROSALES;;;;;5.470,27;1.540.747,06;;
17;17;Villaverde;175;175;17-5;5;Ángeles;ANGELES;ÁNGELES;;;;;5.704,00;1.935.271,67;;
18;18;Villa de Vallecas;181;181;18-1;1;Casco Histórico de Vallecas;CASCO HISTORICO DE VALLECAS;CASCO HISTÓRICO DE VALLECAS;;;;;39.375,00;43.032.403,51;;
18;18;Villa de Vallecas;182;182;18-2;2;Santa Eugenia;SANTA EUGENIA;SANTA EUGENIA;;;;;6.793,02;2.080.232,60;;
18;18;Villa de Vallecas;183;183;18-3;3;Ensanche de Vallecas;ENSANCHE DE VALLECAS;ENSANCHE DE VALLECAS;;;;;14.866,71;6.341.118,45;;
19;19;Vicálvaro;191;191;10-1;1;Casco Histórico de Vicálvaro;CASCO HISTORICO DE VICALVARO;CASCO HISTÓRICO DE VICÁLVARO;;;;;31.102,27;21.496.807,16;;
19;19;Vicálvaro;192;192;19-2;2;Valdebernardo;VALDEBERNARDO;VALDEBERNARDO;;;;;7.086,93;2.555.116,50;;
19;19;Vicálvaro;193;193;19-3;3;Valderrivas;VALDERRIVAS;VALDERRIVAS;;;;;4.577,70;643.123,89;;
19;19;Vicálvaro;194;194;19-4;4;El Cañaveral;EL CAÑAVERAL;EL CAÑAVERAL;;;;;15.932,94;10.567.689,76;;
20;20;San Blas - Canillejas;201;201;20-1;1;Simancas;SIMANCAS;SIMANCAS;;;;;6.683,60;2.276.342,54;;
20;20;San Blas - Canillejas;202;202;20-2;2;Hellín;HELLIN;HELLÍN;;;;;3.989,90;550.555,38;;
20;20;San Blas - Canillejas;203;203;20-3;3;Amposta;AMPOSTA;AMPOSTA;;;;;3.097,46;370.250,30;;
20;20;San Blas - Canillejas;204;204;20-4;4;Arcos;ARCOS;ARCOS;;;;;5.074,87;1.305.194,31;;
20;20;San Blas - Canillejas;205;205;20-5;5;Rosas;ROSAS;ROSAS;;;;;15.584,74;9.293.703,75;;
20;20;San Blas - Canillejas;206;206;20-6;6;Rejas;REJAS;REJAS;;;;;13.375,20;5.016.032,79;;
20;20;San Blas - Canillejas;207;207;20-7;7;Canillejas;CANILLEJAS;CANILLEJAS;;;;;5.438,21;1.597.706,20;;
20;20;San Blas - Canillejas;208;208;20-8;8;El Salvador;EL SALVADOR;EL SALVADOR;;;;;6.577,51;1.880.109,74;;
21;21;Barajas;211;211;21-1;1;Alameda de Osuna;ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;;;;;6.601,76;2.031.267,00;;
21;21;Barajas;212;212;21-2;2;Aeropuerto;AEROPUERTO;AEROPUERTO;;;;;28.381,69;29.664.730,86;;
21;21;Barajas;213;213;21-3;3;Casco Histórico de Barajas;CASCO HISTORICO DE BARAJAS;CASCO HISTÓRICO DE BARAJAS;;;;;3.388,65;549.394,00;;
21;21;Barajas;214;214;21-4;4;Timón;TIMON;TIMÓN;;;;;10.723,32;4.798.438,80;;
21;21;Barajas;215;215;21-5;5;Corralejos;CORRALEJOS;CORRALEJOS;;;;;9.654,80;4.672.512,18;;
